,movie_urls,movie_titles,release_year,genres,imdb_ratings,runtime,age_ratings,prod_countries,streaming_services
0,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,Teri Baaton Mein Aisa Uljha Jiya,(2024),"Drama, War & Military, History",9.0,59min,NA,United States,hotstar
1,https://www.justwatch.com/in/movie/premalu,Premalu,(2018),,8.5,50min,NA,NA,primevideo
2,https://www.justwatch.com/in/movie/hanu-man,Hanu-Man,Year not found,NA,,56min,NA,NA,NA
3,https://www.justwatch.com/in/movie/oppenheimer,Oppenheimer,Year not found,NA,,59min,NA,NA,NA
4,https://www.justwatch.com/in/movie/anatomie-dune-chute,Anatomy of a Fall,Year not found,NA,,33min,NA,NA,NA
5,https://www.justwatch.com/in/movie/article-370,Article 370,Year not found,NA,,NA,NA,NA,NA
6,https://www.justwatch.com/in/movie/dune-part-two,Dune: Part Two,Year not found,NA,,NA,NA,NA,NA
7,https://www.justwatch.com/in/movie/the-crew-2024,Crew,Year not found,NA,,NA,NA,NA,NA
8,https://www.justwatch.com/in/movie/fighter-2022,Fighter,Year not found,NA,,NA,NA,NA,NA
9,https://www.justwatch.com/in/movie/manjummel-boys,Manjummel Boys,Year not found,NA,,NA,NA,NA,NA
10,https://www.justwatch.com/in/movie/animal-2022,Animal,Year not found,NA,,NA,NA,NA,NA
11,https://www.justwatch.com/in/movie/anyone-but-you,Anyone But You,Year not found,NA,,NA,NA,NA,NA
12,https://www.justwatch.com/in/movie/dune-2021,Dune,Year not found,NA,,NA,NA,NA,NA
13,https://www.justwatch.com/in/movie/amar-singh-chamkila,Amar Singh Chamkila,Year not found,NA,,NA,NA,NA,NA
14,https://www.justwatch.com/in/movie/12th-fail,12th Fail,Year not found,NA,,49min,NA,NA,NA
15,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire,Godzilla x Kong: The New Empire,Year not found,NA,,NA,NA,United States,NA
16,https://www.justwatch.com/in/movie/bramayugam,Bramayugam,Year not found,NA,,NA,NA,NA,NA
17,https://www.justwatch.com/in/movie/poor-things,Poor Things,Year not found,NA,,NA,NA,NA,NA
18,https://www.justwatch.com/in/movie/black-magic-2024,Shaitaan,Year not found,NA,,NA,NA,NA,NA
19,https://www.justwatch.com/in/movie/road-house-2024,Road House,(2024),NA,,NA,NA,NA,NA
20,https://www.justwatch.com/in/movie/laapataa-ladies,Laapataa Ladies,Year not found,NA,,NA,NA,NA,NA
21,https://www.justwatch.com/in/movie/sam-bahadur,Sam Bahadur,Year not found,NA,,NA,NA,NA,NA
22,https://www.justwatch.com/in/movie/gaami,Gaami,Year not found,NA,,NA,NA,NA,NA
23,https://www.justwatch.com/in/movie/madame-web,Madame Web,Year not found,NA,,NA,NA,NA,NA
24,https://www.justwatch.com/in/movie/kung-fu-panda-4,Kung Fu Panda 4,Year not found,NA,,NA,NA,NA,NA
25,https://www.justwatch.com/in/movie/monkey-man,Monkey Man,Year not found,NA,,NA,NA,NA,NA
26,https://www.justwatch.com/in/movie/kung-fu-panda,Kung Fu Panda,Year not found,NA,8.9,NA,NA,NA,NA
27,https://www.justwatch.com/in/movie/salaar,Salaar,Year not found,NA,,NA,NA,NA,NA
28,https://www.justwatch.com/in/movie/the-beekeeper-2024,The Beekeeper,Year not found,NA,,NA,NA,NA,NA
29,https://www.justwatch.com/in/movie/365-days,365 Days,Year not found,NA,,NA,NA,NA,NA
30,https://www.justwatch.com/in/movie/madgaon-express,Madgaon Express,Year not found,NA,,NA,NA,NA,NA
31,https://www.justwatch.com/in/movie/dj-tillu,DJ Tillu,Year not found,NA,,NA,NA,NA,NA
32,https://www.justwatch.com/in/movie/godzilla-vs-kong,Title not found,Year not found,NA,,NA,NA,NA,NA
33,https://www.justwatch.com/in/movie/aadujeevitham,Title not found,Year not found,NA,,NA,NA,NA,NA
34,https://www.justwatch.com/in/movie/lover-2024,Title not found,Year not found,NA,,NA,NA,NA,NA
35,https://www.justwatch.com/in/movie/merry-christmas-2024,Title not found,Year not found,NA,,NA,NA,NA,NA
36,https://www.justwatch.com/in/movie/joker-2019,Title not found,Year not found,NA,,NA,NA,NA,NA
37,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom,Title not found,Year not found,NA,,NA,NA,NA,NA
38,https://www.justwatch.com/in/movie/the-kerala-story,Title not found,Year not found,NA,,NA,NA,NA,NA
39,https://www.justwatch.com/in/movie/om-bheem-bush,Title not found,Year not found,NA,,NA,NA,NA,NA
40,https://www.justwatch.com/in/movie/eagle-2024,Title not found,Year not found,NA,,NA,NA,NA,NA
41,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,Title not found,Year not found,NA,,NA,NA,NA,NA
42,https://www.justwatch.com/in/movie/kampon,Title not found,Year not found,NA,,NA,NA,NA,NA
43,https://www.justwatch.com/in/movie/aattam,Title not found,Year not found,NA,,NA,NA,NA,NA
44,https://www.justwatch.com/in/movie/bade-miyan-chote-miyan-2023,Title not found,Year not found,NA,,NA,U,NA,NA
45,https://www.justwatch.com/in/movie/777-charlie,Title not found,Year not found,"Crime, Drama, Mystery & Thriller, Action & Adventure, Made in Europe",,50min,NA,NA,NA
46,https://www.justwatch.com/in/movie/murder-mubarak,Title not found,Year not found,NA,,NA,NA,NA,NA
47,https://www.justwatch.com/in/movie/chaari-111,Title not found,Year not found,NA,,NA,NA,United States,NA
48,https://www.justwatch.com/in/movie/she-said,She Said,Year not found,NA,,NA,NA,NA,NA
49,https://www.justwatch.com/in/movie/argylle,Title not found,Year not found,NA,,NA,NA,NA,NA
